"activeStakesCount","createdAt","defaultDisplayName","id","stakesCount","totalRealizedRewards","totalStakedTokens","totalUnstakedTokens","date_utc","date_time_utc"
2,1608418888,NA,"0xdfc026ca5508646dc1efbf79570200e0b27d8d35",2,"10565753705443229549.4539047089502","2025385936146159285160","1010000000000000000663",2021-08-23,"2021-08-23 20:40:26"
1,1611431327,NA,"0xdfbf59ed1938fcf8c6344cfd737d50d5f4d0b4fd",2,"2690906474333273637739.31927571488","180343750000000000000000","102222156474333273671368",2021-08-23,"2021-08-23 20:40:26"
0,1618982932,NA,"0xdfbe9a65e7648c1f3788503ece429630f03805aa",1,"136454475534074943075.49651425803","13165611150000000000000","13302065625534074946171",2021-08-23,"2021-08-23 20:40:26"
5,1613429961,NA,"0xdfbe2a3f1a1aa42f6bdadc0de1f9bdf9cd0cf8c8",6,"0","100066155000000000000000","15919999999999999999999",2021-08-23,"2021-08-23 20:40:26"
1,1621644263,NA,"0xdfba9af3121e6ce09353f1b7ad32bb02c5762c20",1,"0","1340349526314650000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1612002679,NA,"0xdfb99703f6cf759f76b5c817109d581e50c6326b",2,"994666400440295823775.8985325166","300735436650000000000000","166828003050440280120923",2021-08-23,"2021-08-23 20:40:26"
3,1613093414,NA,"0xdfb78b6e30c7846215ff464f1f2cac9283241442",3,"0","998631933856100000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1615906591,NA,"0xdfb23c2e446f5e9147568aa08d0d88fa1e869c01",1,"0","326878490022500000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1611287093,NA,"0xdfa98f97a1b12f1274a663c8d3bef702d6d3816d",2,"33258293305655834861.390428900234","11209354585000000000000","4537075048305655003287",2021-08-23,"2021-08-23 20:40:26"
1,1612896918,NA,"0xdfa493ed0b8420262e59635f8e071d3818241480",1,"389061805183279444585.919782197467","116082670000000000000000","8333000000000000000270",2021-08-23,"2021-08-23 20:40:26"
1,1613865530,NA,"0xdfa2479adf885f89a1f830a6375b6171eb796e58",1,"0","17496637200000000000000","0",2021-08-23,"2021-08-23 20:40:26"
2,1627540683,NA,"0xdf9c94c444d239832f02c3affb2dae03487673b7",2,"0","1577230041989417579700","0",2021-08-23,"2021-08-23 20:40:26"
1,1608620301,NA,"0xdf9902ceb5403094bacbb5d1e5fe56b7e10dc298",2,"6407256698853427976.7560321222423","436436850000000000000","442844106698853412369",2021-08-23,"2021-08-23 20:40:26"
