"averageCostBasis","id","signal","signalledTokens","unsignalledTokens","pricePerShare","subgraphID","shareValue","TotalProfitLoss","address","date_utc","date_time_utc"
3500,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x1f90acb4cdb238858c7347c9fbd8a1c44caa7928-1",58.4166072277396,3500,0,118.317511782952,3.12255299668085e+76,6911.70761398814,3411.70761398814,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
3500,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x1f90acb4cdb238858c7347c9fbd8a1c44caa7928-2",58.4166072277396,3500,0,124.899959967968,5.64297031219382e+76,7296.23190420918,3796.23190420918,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
3500,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x21f7db7daa3f03100eb6ad36f79e20972a79e6c0-0",58.4166072277396,3500,0,139.781973086661,6.23688458898751e+76,8165.58861932194,4665.58861932194,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
3500,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x5991a31ab4095cb5470a5bd532e02568393b06d5-0",58.4166072277396,3500,0,116.833214455479,7.56410585927113e+75,6825,3325,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x5991a31ab4095cb5470a5bd532e02568393b06d5-1",0,3500,3412.5,0,4.81379356060903e+76,0,-87.5,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x5991a31ab4095cb5470a5bd532e02568393b06d5-3",0,3500,3412.5,0,4.01254362885239e+76,0,-87.5,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x5991a31ab4095cb5470a5bd532e02568393b06d5-4",0,3500,3412.5,0,4.01254362885239e+76,0,-87.5,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0x9d196973c0c5bd65ccfb797a2c23eb5c1faba7ab-1",0,100,0,NA,NA,NA,NA,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
3500,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0xab68e92b6e19e0d570a13d251d1ea8d029f711cb-0",58.4166072277396,3500,0,116.833214455479,7.87824963376073e+76,6825,3325,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
100,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0xba5edb751ccf93770796e273d8bce83e1e81e2d4-5",9.87420882906575,100,0,73.8918128076447,5.90851922727698e+76,729.623190420919,629.623190420919,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0xefe232372e2e30951fa90d7a800d5938eedc935d-1",0,3500,3412.5,NA,NA,NA,NA,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0xefe232372e2e30951fa90d7a800d5938eedc935d-3",0,3500,3412.5,NA,NA,NA,NA,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
0,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342-0xefe232372e2e30951fa90d7a800d5938eedc935d-4",0,3500,3412.5,NA,NA,NA,NA,"0x1a2da6102a5a4bca8bfa4b57e3236c52b2bd1342",2021-07-21,"2021-07-21 02:00:10"
